name,name_lv,admin_unit,coord_Lat,coord_Long,status_republic,status_from,gerbURL,population
Jurmala,Jūrmala,Jūrmalas pilsēta,56.968055555556,23.770277777778,true,1959. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Escut_Jurmala.png/25px-Escut_Jurmala.png,56
Kandava,Kandava,Kandavas novads,57.0375,22.775,false,1917. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Kandava_gerb.png/25px-Kandava_gerb.png,3501
Karsava,Kārsava,Kārsavas novads,56.783888888889,27.684722222222,false,1928. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Karsava_gerb.png/25px-Karsava_gerb.png,1970
Kraslava,Krāslava,Krāslavas novads,55.895,27.165,false,1923. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Coat_of_Arms_of_Kr%C4%81slava.svg/25px-Coat_of_Arms_of_Kr%C4%81slava.svg.png,7771
Kuldiga,Kuldīga,Kuldīgas novads,56.968611111111,21.971666666667,false,1378. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Escut_Kuldiga.png/25px-Escut_Kuldiga.png,10
Koknese,Koknese,Aizkraukles novads,56.647778,25.436667,false,2022. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Kokneses_novads_COA.png/25px-Kokneses_novads_COA.png,2562
Kegums,Ķegums,Ķeguma novads,56.744166666667,24.725,false,1993. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Kegums_gerb.png/25px-Kegums_gerb.png,2147
Kekava,Ķekava,Ķekavas novads,56.832222,24.226667,false,2022. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/LVA_%C4%B6ekavas_pagasts_COA.png/25px-LVA_%C4%B6ekavas_pagasts_COA.png,5190
Lielvarde,Lielvārde,Lielvārdes novads,56.723055555556,24.805833333333,false,1992. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/WappenLielvarde.png/25px-WappenLielvarde.png,6085
Liepaja,Liepāja,Liepājas pilsēta,56.511666666667,21.013888888889,true,1625. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Coat_of_Arms_of_Liep%C4%81ja.svg/25px-Coat_of_Arms_of_Liep%C4%81ja.svg.png,73
Ligatne,Līgatne,Līgatnes novads,57.232222222222,25.045833333333,false,1993. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Ligatne_gerb.png/25px-Ligatne_gerb.png,1092
Limbazi,Limbaži,Limbažu novads,57.511388888889,24.719166666667,false,1385. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Limbazi_gerb.png/25px-Limbazi_gerb.png,7059
Livani,Līvāni,Līvānu novads,56.366666666667,26.183333333333,false,1926. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Livani_gerb.png/25px-Livani_gerb.png,7388
Lubana,Lubāna,Lubānas novads,56.9,26.716666666667,false,1992. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Coat_of_Arms_of_Lub%C4%81na.svg/25px-Coat_of_Arms_of_Lub%C4%81na.svg.png,1555
Ludza,Ludza,Ludzas novads,56.546388888889,27.726944444444,false,1777. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Escut_Ludza.png/25px-Escut_Ludza.png,7767
Madona,Madona,Madonas novads,56.851111111111,26.219444444444,false,1926. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Coat_of_Arms_of_Madona.svg/25px-Coat_of_Arms_of_Madona.svg.png,7129
Mazsalaca,Mazsalaca,Mazsalacas novads,57.860277777778,25.055833333333,false,1928. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Mazsalaca_gerb.png/25px-Mazsalaca_gerb.png,1143
Marupe,Mārupe,Mārupes novads,56.900833,24.047778,false,2022. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/LVA_M%C4%81rupes_novads_COA.png/25px-LVA_M%C4%81rupes_novads_COA.png,17
Ogre,Ogre,Ogres novads,56.818611111111,24.605555555556,false,1928. gads,https://upload.wikimedia.org/wikipedia/lv/thumb/1/11/Coat_of_arms_of_Ogre.svg/25px-Coat_of_arms_of_Ogre.svg.png,24
Olaine,Olaine,Olaines novads,56.787222222222,23.941944444444,false,1967. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Olaine.gerb.png/25px-Olaine.gerb.png,10
Pavilosta,Pāvilosta,Pāvilostas novads,56.889166666667,21.176944444444,false,1991. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Pavilosta_gerb.png/25px-Pavilosta_gerb.png,850
Piltene,Piltene,Ventspils novads,57.225277777778,21.675833333333,false,1557. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Piltene_gerb.png/25px-Piltene_gerb.png,877
Plavinas,Pļaviņas,Pļaviņu novads,56.616666666667,25.716944444444,false,1927. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Plavinas_gerb.png/25px-Plavinas_gerb.png,2950
Preili,Preiļi,Preiļu novads,56.3,26.716666666667,false,1928. gads,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Coat_of_Arms_of_Prei%C4%BCi.svg/25px-Coat_of_Arms_of_Prei%C4%BCi.svg.png,6326
